Sat May 02 17:03:02 +0000 2015,RT @WeMustBeNets: I have really enjoyed @ASqared06 &amp; hope he stays w/ #Nets, but I understand if he leaves. Always brings full effort &amp; tou…
Sat May 02 17:02:09 +0000 2015,http://t.co/j5NQre0uRX Brooklyn Nets NBA Ponytail Holder  #Nets http://t.co/ZVFlj1qQBs
Sat May 02 17:01:49 +0000 2015,Lmfao werd up RT @TyNittyAF1: @MookWorldPeace good thing I didn't waste my time. #nets got smoked
Sat May 02 16:58:46 +0000 2015,RT @WeMustBeNets: I have really enjoyed @ASqared06 &amp; hope he stays w/ #Nets, but I understand if he leaves. Always brings full effort &amp; tou…
Sat May 02 16:57:39 +0000 2015,I have really enjoyed @ASqared06 &amp; hope he stays w/ #Nets, but I understand if he leaves. Always brings full effort &amp; toughness each night.
Sat May 02 16:53:13 +0000 2015,RT @MazzESPN: Lionel Hollins said he doesn't consider Deron Williams a franchise player anymore. Considers him a very good player. #Nets
Sat May 02 16:52:14 +0000 2015,TIX http://t.co/OtW5nOs45D 2 TIX NBA Finals Brooklyn #Nets Home Game 3 5/13 Barclays Center http://t.co/q50rQIKL7C #Tickets #NBA
Sat May 02 16:52:08 +0000 2015,Thanks for breaking my heart yet again #Nets 😔💔
Sat May 02 16:50:59 +0000 2015,#Hawks Soar to close out #Nets, by @JESchott19, pics by @LolitaLens - http://t.co/tmDlvtZXMV
Sat May 02 16:49:16 +0000 2015,TIX http://t.co/OtW5nOs45D A 2 #NBA Finals Brooklyn #Nets Home Game 3 5/13 Barclays Center http://t.co/op4Jtkw9WP #Tickets #NBA
Sat May 02 16:49:13 +0000 2015,RT @alexraskinNYC: Johnson said playing for Lionel Hollins was fun and challenging. Compared him to Nolan Richardson. #nets #Razorbacks
Sat May 02 16:49:06 +0000 2015,Hawks Finish Off Nets With Game 6 Blowout #game #hawks #nets #the #radio #with #off #finish #post #blowout http://t.co/ctOS1zjeNg
Sat May 02 16:47:05 +0000 2015,RT @MazzESPN: Lionel Hollins said he doesn't consider Deron Williams a franchise player anymore. Considers him a very good player. #Nets
Sat May 02 16:42:36 +0000 2015,Yo! Hawks close out Nets with 41-point third quarter   http://t.co/N7socoXXxG  #atlanta #coach #hawks #nets
Sat May 02 16:42:30 +0000 2015,RT @BrooklynNets: "It's got a bit of a nostalgia feel for me, knowing this is where I started my journey." http://t.co/G4eNvwWkW9 #Nets htt…
Sat May 02 16:42:02 +0000 2015,#nets #brooklyn Nets' Joe Johnson: 'I don't think anyone is indispensable': Joe Johnson has been w... http://t.co/vd2qDj3NaN #LetsGoNets
Sat May 02 16:40:36 +0000 2015,ALL DAY NIGGA *Kanye Voice* #Nets http://t.co/i4E5uWd2cc
Sat May 02 16:40:14 +0000 2015,Nets hammered by Hawks, end season with a whimper http://t.co/Og07nF0s3t #Nets #NBA
Sat May 02 16:38:52 +0000 2015,http://t.co/j5NQre0uRX 4 TIX 5/3 NBA Eastern Conference Quarterfinals : Atlanta Hawks v  #Nets http://t.co/7AU7tOh6BQ
Sat May 02 16:38:07 +0000 2015,RT @babynoyz: Just double checked #nets score from last night http://t.co/SNe1nOChJT
Sat May 02 16:37:55 +0000 2015,Just double checked #nets score from last night http://t.co/SNe1nOChJT
Sat May 02 16:36:31 +0000 2015,RT @barclayscenter: Thanks for coming out tonight, @levenrambin &amp; @parrack120! #whosinthehouse #Nets #Brooklyn http://t.co/9eCHZDQFbp
Sat May 02 16:36:23 +0000 2015,RT @MazzESPN: Lionel Hollins said he doesn't consider Deron Williams a franchise player anymore. Considers him a very good player. #Nets
Sat May 02 16:36:07 +0000 2015,TIX http://t.co/OtW5nOs45D 4 TIX NBA Finals Brooklyn #Nets Home Game 4 5/14 Barclays Center http://t.co/dRHrpLTlGe #Tickets #NBA
Sat May 02 16:35:53 +0000 2015,@DeronWilliams #MyWifeAndKids #nba #Nets #bye http://t.co/n7izaPRJAj
Sat May 02 16:34:54 +0000 2015,RT @rodboone: Lionel Hollins said he wants to see #Nets add some quickness in the backcourt. Also thinks the need to get more athletic.
Sat May 02 16:34:34 +0000 2015,RT @MazzESPN: Joe Johnson said no one on roster is indispensable including himself #Nets
Sat May 02 16:34:19 +0000 2015,#Nets’ #Joe #Johnson: ‘I don’t think anyone is indispensable’: Joe Johnson sees the Nets… http://t.co/YYqyrtZWDp
Sat May 02 16:33:31 +0000 2015,RT @rodboone: Alan Anderson: "I’m free, so … I mean, I would love to stay in Brooklyn, but I am a free agent. So I will be free." #Nets
Sat May 02 16:30:37 +0000 2015,RT @MazzESPN: Lionel Hollins said Brook Lopez could be a franchise player if he develops a post game #Nets
Sat May 02 16:30:06 +0000 2015,RT @MazzESPN: Lionel Hollins said he doesn't consider Deron Williams a franchise player anymore. Considers him a very good player. #Nets
Sat May 02 16:29:18 +0000 2015,RT @BrooklynNets: #Nets fans, thank you for your support this season! http://t.co/VZ68bbkpYe
Sat May 02 16:29:03 +0000 2015,RT @YahooSports: The #Hawks thump the #Nets in Game 6 to advance in the #NBAPlayoffs --&gt; http://t.co/tXz8o0l2QP
Sat May 02 16:27:56 +0000 2015,Great day of competition happening on DAY 2 at the NETS SPRING CLASSIC! Buzzer beaters, OT thrillers and more!#NETSCLASSIC #NETS 🏀
Sat May 02 16:25:34 +0000 2015,RT @kidcue: @steakshapiro Joe Johnson 5/13 for 12 pts in an elimination game for the #Nets   Yeah that sounds about right.  Seen that movie…
Sat May 02 16:20:46 +0000 2015,RT @MazzESPN: Lionel Hollins said he doesn't consider Deron Williams a franchise player anymore. Considers him a very good player. #Nets
Sat May 02 16:20:31 +0000 2015,RT @alexraskinNYC: Johnson wasn't pointing the finger at Williams or Lopez. Said they've shown flashes together--just not cknsistently. #ne…
Sat May 02 16:19:58 +0000 2015,@NYPost_Brazille Billy King has lost his owner more money than any GM in professional sports history - with no success. #Nets
Sat May 02 16:19:35 +0000 2015,TIX http://t.co/OtW5nOs45D 2 TIX NBA Finals Brooklyn #Nets Home Game 3 5/13 Barclays Center http://t.co/op4Jtkw9WP #Tickets #NBA
Sat May 02 16:19:24 +0000 2015,RT @BrooklynNets: #Nets fans, thank you for your support this season! http://t.co/VZ68bbkpYe
Sat May 02 16:19:10 +0000 2015,TIX http://t.co/OtW5nOs45D A A 2 #NBA Finals Brooklyn #Nets Home Game 2 5/12 Barclays Center http://t.co/xRWKMoaj5V #Tickets #NBA
Sat May 02 16:17:55 +0000 2015,RT @MazzESPN: Lionel Hollins said he doesn't consider Deron Williams a franchise player anymore. Considers him a very good player. #Nets
Sat May 02 16:16:08 +0000 2015,RT @MazzESPN: Lionel Hollins said he doesn't consider Deron Williams a franchise player anymore. Considers him a very good player. #Nets
Sat May 02 16:15:16 +0000 2015,RT @apignatti360: This is absolutely fantastic by @uuords. A must-read for all #Nets fans carried by a perfect analogy throughouthttp://t…
Sat May 02 16:15:14 +0000 2015,Disgraceful Nets expect good vibes from failure of a season http://t.co/xSPMqaD1vz #Nets #NBA
Sat May 02 16:13:12 +0000 2015,RT @WeMustBeNets: I think the #Nets have some nice compatible pieces in place w/ Brook, Thad, &amp; Bojan.  They just need a consistent PG who …
Sat May 02 16:12:39 +0000 2015,The #Nets are officially in disarray. If Brook Lopez doesn't return, we're so screwed. All thanks to @bkdefend. smh
Sat May 02 16:10:43 +0000 2015,RT @MazzESPN: Thaddeus Young said he wants to see what Brook Lopez does in FA as he makws decision but confirmed that #Nets do indeed want …
Sat May 02 16:10:38 +0000 2015,#Nets Joe Johnson admitted that he has "no idea" what the Nets' roster will look like next season.  http://t.co/ojOABVyels
Sat May 02 16:10:20 +0000 2015,RT @MazzESPN: Lionel Hollins said Brook Lopez could be a franchise player if he develops a post game #Nets
Sat May 02 16:10:13 +0000 2015,RT @MazzESPN: Lionel Hollins said he doesn't consider Deron Williams a franchise player anymore. Considers him a very good player. #Nets
Sat May 02 16:09:59 +0000 2015,RT @929TheGame: #Hawks disposed of #Nets &amp; are getting ready for #Wizards. @CVivlamoreAJC joins @JohnFricke @Bighugh53 with his thoughts on…
Sat May 02 16:09:33 +0000 2015,@bkdefend, just please make sure we keep @yungsmoove21. Best player we've acquired in recent memory, including Deron Williams. Thanks. #Nets
Sat May 02 16:09:30 +0000 2015,#Nets Joe Johnson admitted that he has "no idea" what the Nets' roster will look like next season.  http://t.co/ojOABVPPK2
Sat May 02 16:09:00 +0000 2015,My guess is that Mirza is gone... He might get a nice payday as a stretch four and I don't think Hollins likes him. #Nets
Sat May 02 16:08:09 +0000 2015,#BrooklynNets #Nets #netsnation Nets decline Bobby Marks' option http://t.co/b6jih5bnzl
Sat May 02 16:07:42 +0000 2015,The #Nets should resign Lopez, Young, Mirza and Anderson. Look to trade Dwill or JJ. JJ is an expiring might be something there.
Sat May 02 16:07:07 +0000 2015,Report: #Nets aim to retain PF-SF Thaddeus Young even if he exercises his $10.2 million ETO.
Sat May 02 16:06:59 +0000 2015,The reason behind Deron Williamsâ encore flop| http://t.co/tXnvYGXxwz #Nets #NBA
Sat May 02 16:06:54 +0000 2015,RT @MazzESPN: Mirza Teletovic will consult with his agent about his future. FA to be has enjoyed his time in BK, wants to stay if possible.…
Sat May 02 16:06:47 +0000 2015,RT @MazzESPN: Alan Anderson sounds like he plans to opt out #Nets
Sat May 02 16:06:38 +0000 2015,RT @PittsburghNETS: Off to a great start in Day #2 of the NETS CLASSIC!Huge thanks to @number1cochran for sponsoring our event!#NETS 🏀 ht…
Sat May 02 16:06:33 +0000 2015,RT @MazzESPN: Lionel Hollins said he doesn't consider Deron Williams a franchise player anymore. Considers him a very good player. #Nets
Sat May 02 16:06:30 +0000 2015,RT @TheBKGame: This #Nets season never had a sense of purpose beyond survival. The zombie is dead, &amp; now we wait for life to spring: http:/…
Sat May 02 16:06:29 +0000 2015,http://t.co/j5NQre0uRX [CBS Sports] - Joe Johnson says no Nets are 'indespensible'  #Nets http://t.co/Hg8uKfCK2x
Sat May 02 16:06:21 +0000 2015,RT @sheridanhoops: Mikhail Prokhorov has a midlife crisis on his hands with the #Nets as he celebrates his 50th birthday in Turkey: http://…
Sat May 02 16:06:11 +0000 2015,IT'S BROOKLYN BABY! #thanksnets #nets #brooklyn #thankyou #nextyear #playoffs #nba #friends #byebye #netshawks #ba... http://t.co/8VdS04mrvY
Sat May 02 16:06:00 +0000 2015,Report: #Nets intend to retain star C Brook Lopez even if he declines his $16.74 million player option.
Sat May 02 16:05:54 +0000 2015,RT @929TheGame: #Hawks disposed of #Nets &amp; are getting ready for #Wizards. @CVivlamoreAJC joins @JohnFricke @Bighugh53 with his thoughts on…
Sat May 02 16:05:45 +0000 2015,RT @MazzESPN: Hollins indicated team needs more toughness, basketball IQ, depth #Nets
Sat May 02 16:05:40 +0000 2015,#Hawks disposed of #Nets &amp; are getting ready for #Wizards. @CVivlamoreAJC joins @JohnFricke @Bighugh53 with his thoughts on the next round!
Sat May 02 16:05:39 +0000 2015,RT @MazzESPN: Thaddeus Young said he wants to see what Brook Lopez does in FA as he makws decision but confirmed that #Nets do indeed want …
Sat May 02 16:05:16 +0000 2015,RT @OwnersBoxNBA: #NBA #NetsF Alan Anderson will test the free agent market this offseason.
Sat May 02 16:04:41 +0000 2015,RT @TheBKGame: New: Brook Lopez non-committal about future with Nets as team could be headed for a breakup http://t.co/wETmTiR1RN #Nets
Sat May 02 16:04:19 +0000 2015,TIX http://t.co/OtW5nOs45D 2 TIX NBA Eastern Conference Finals #Ticket: Brooklyn #Nets vs TBA HG4 5/9 http://t.co/1fkvOdeskP #Tickets #NBA
Sat May 02 16:04:12 +0000 2015,RT The #Hawks thump the #Nets in Game 6 to advance in the #NBAPlayoffs --&amp;gt; http://t.co/Y7j2ldYOAN #SportsRoadhouse
Sat May 02 16:03:58 +0000 2015,RT @rodboone: Alan Anderson: "I’m free, so … I mean, I would love to stay in Brooklyn, but I am a free agent. So I will be free." #Nets
Sat May 02 16:03:17 +0000 2015,RT @TheBKGame: New: Brook Lopez non-committal about future with Nets as team could be headed for a breakup http://t.co/wETmTiR1RN #Nets
Sat May 02 16:02:49 +0000 2015,#Castingdirector #thanksnets #nets #brooklyn #thankyou #nextyear #playoffs #nba #friends #byebye #netshawks #barcl... http://t.co/DzGCjrmhwn
Sat May 02 16:01:24 +0000 2015,RT @SportsGrid: Expect the #Nets roster to explode this off season. Joe Johnson expects it: http://t.co/ZBd28WMLkv http://t.co/exzr8bca8V
Sat May 02 16:01:10 +0000 2015,RT @rodboone: Alan Anderson: "I’m free, so … I mean, I would love to stay in Brooklyn, but I am a free agent. So I will be free." #Nets
Sat May 02 16:00:13 +0000 2015,Yo! Nets Tie Series At 2 With 120-115 OT Win Over Atlan  http://t.co/63qmAVkjNn  #games #hawks #nets #williams
Sat May 02 16:00:06 +0000 2015,#VSportsCD The #Hawks thump the #Nets in Game 6 to… http://t.co/NMWvomU2Uy #Hawks #Nets #NBAPlayoffs #NBA #NFL #tcot http://t.co/3IZI1aXl4R
Sat May 02 15:59:54 +0000 2015,Also, idea #Nets "won't get KD so screw free agency" is HIGHLY flawed.
Sat May 02 15:59:25 +0000 2015,The #Hawks thump the #Nets in Game 6 to advance in the #NBAPlayoffs --&gt; http://t.co/tXz8o0l2QP
Sat May 02 15:58:56 +0000 2015,RT @alexraskinNYC: Johnson said playing for Lionel Hollins was fun and challenging. Compared him to Nolan Richardson. #nets #Razorbacks
Sat May 02 15:58:52 +0000 2015,RT @MazzESPN: Lionel Hollins said he doesn't consider Deron Williams a franchise player anymore. Considers him a very good player. #Nets
Sat May 02 15:58:24 +0000 2015,Expect the #Nets roster to explode this off season. Joe Johnson expects it: http://t.co/ZBd28WMLkv http://t.co/exzr8bca8V
Sat May 02 15:58:13 +0000 2015,Joe Johnson says no #Nets are 'indespensible': @CBSSports http://t.co/VKhjw3Arn1 #NBA
Sat May 02 15:57:33 +0000 2015,RT @sheridanhoops: Mikhail Prokhorov has a midlife crisis on his hands with the #Nets as he celebrates his 50th birthday in Turkey: http://…
Sat May 02 15:56:51 +0000 2015,RT @MazzESPN: Lionel Hollins said he doesn't consider Deron Williams a franchise player anymore. Considers him a very good player. #Nets
Sat May 02 15:56:16 +0000 2015,http://t.co/j5NQre0uRX [SB Nation: Nets Daily] - Deadlines and Commitments - No. 59  #Nets http://t.co/TIaeVZQVpg
Sat May 02 15:56:12 +0000 2015,RT @sheridanhoops: Mikhail Prokhorov has a midlife crisis on his hands with the #Nets as he celebrates his 50th birthday in Turkey: http://…
Sat May 02 15:55:51 +0000 2015,Mikhail Prokhorov has a midlife crisis on his hands with the #Nets as he celebrates his 50th birthday in Turkey: http://t.co/EvW7vZU0NT
Sat May 02 15:55:24 +0000 2015,RT @MazzESPN: Lionel Hollins said he doesn't consider Deron Williams a franchise player anymore. Considers him a very good player. #Nets
Sat May 02 15:54:56 +0000 2015,Johnson said playing for Lionel Hollins was fun and challenging. Compared him to Nolan Richardson. #nets #Razorbacks
Sat May 02 15:54:21 +0000 2015,"Alan Anderson to Opt Out: 'I'm Free'" (via @TeamStream) #NBA. #Nets.  http://t.co/w2LyZelX9y
Sat May 02 15:54:12 +0000 2015,RT @WeMustBeNets: I think the #Nets have some nice compatible pieces in place w/ Brook, Thad, &amp; Bojan.  They just need a consistent PG who …
Sat May 02 15:53:48 +0000 2015,I'd like Lopez and Thad to stay at Brooklyn. #Nets
Sat May 02 15:53:03 +0000 2015,RT @MazzESPN: Lionel Hollins said he doesn't consider Deron Williams a franchise player anymore. Considers him a very good player. #Nets
